Word,Frequency
satasahassāni,1
karissanti,1
imināhaṃ,1
sīlena,1
vatena,1
tapena,1
brahmacariyena,1
aparipakkaṃ,1
paripācessāmi,1
paripakkaṃ,1
karissāmī’ti,1
hevaṃ,1
doṇamite,1
sukhadukkhe,1
pariyantakate,1
saṃsāre,1
hāyanavaḍḍhane,1
ukkaṃsāvakaṃse,1
suttaguḷe,1
khitte,1
nibbeṭhiyamānameva,1
paleti,1
karissantī’ti,1
makkhalissa,1
gosālassa,1
ajitakesakambalavādo,1
ajitena,1
kesakambalena,1
dinnaṃ,1
yiṭṭhaṃ,1
hutaṃ,1
paraloko,1
mātā,1
pitā,1
sammaggatā,1
sammāpaṭipannā,1
imañca,1
parañca,1
pavedenti,1
yadā,1
kālaṅkaroti,1
pathavī,1
pathavikāyaṃ,1
āpo,1
āpokāyaṃ,1
tejo,1
tejokāyaṃ,1
vāyo,1
vāyokāyaṃ,1
indriyāni,1
saṅkamanti,1
āsandipañcamā,1
mataṃ,1
gacchanti,1
yāvāḷāhanā,1
padāni,1
paññāyanti,1
kāpotakāni,1
aṭṭhīni,1
bhavanti,1
bhassantā,1
āhutiyo,1
dattupaññattaṃ,1
dānaṃ,1
tesaṃ,1
tucchaṃ,1
vilāpo,1
keci,1
atthikavādaṃ,1
vadanti,1
ucchijjanti,1
vinassanti,1
maraṇā’ti,1
ajitassa,1
kesakambalassa,1
pakudhakaccāyanavādo,1
pakudhena,1
kaccāyanena,1
sattime,1
katame,1
pathavikāyo,1
āpokāyo,1
tejokāyo,1
vāyokāyo,1
sukhe,1
dukkhe,1
jīve,1
sattame,1
hantā,1
ghātetā,1
sotā,1
sāvetā,1
viññātā,1
viññāpetā,1
yopi,1
tiṇhena,1
satthena,1
sīsaṃ,1
chindati,1
koci,1
kañci,1
voropeti,1
yeva,1
kāyānamantarena,1
satthaṃ,1
vivaramanupatatī’ti,1
pakudhassa,1
kaccāyanassa,1
nigaṇṭhanāṭaputtavādo,1
nigaṇṭhena,1
nāṭaputtena,1
sabbavārivārito,1
sabbavāriyutto,1
sabbavāridhuto,1
sabbavāriphuṭo,1
vuccati,1
gatatto,1
yatatto,1
ṭhitatto,1
cā’ti,1
nigaṇṭhassa,1
nāṭaputtassa,1
sañcayabelaṭṭhaputtavādo,1
sañcayena,1
belaṭṭhaputtena,1
no’ti,1
ayañca,1
samaṇabrāhmaṇānaṃ,1
sabbabālo,1
sabbamūḷho,1
byākarissatī’ti,1
sañcayassa,1
belaṭṭhaputtassa,1
paṭhamasandiṭṭhikasāmaññaphalaṃ,1
bhagavantampi,1
pucchāmi,1
kammakaro,1
mukhullokiko,1
paviveke’ti,1
mukhullokako’ti,1
dutiyasandiṭṭhikasāmaññaphalaṃ,1
paviveke’’ti,1
rāsivaḍḍhako’ti,1
paṇītatarasāmaññaphalaṃ,1
paññapetuṃ,1
imehi,1
paṇītatarañcā’’ti,1
suṇohi,1
sādhukaṃ,1
manasi,1
karohi,1
bhāsissāmī’’ti,1
bhante’’ti,1
paccassosi,1
uppajjati,1
sadevakaṃ,1
samārakaṃ,1
sabrahmakaṃ,1
sassamaṇabrāhmaṇiṃ,1
pajaṃ,1
sadevamanussaṃ,1
pavedeti,1
deseti,1
ādikalyāṇaṃ,1
majjhekalyāṇaṃ,1
pariyosānakalyāṇaṃ,1
sātthaṃ,1
sabyañjanaṃ,1
kevalaparipuṇṇaṃ,1
parisuddhaṃ,1
pakāseti,1
gahapati,1
gahapatiputto,1
aññatarasmiṃ,1
kule,1
paccājāto,1
tathāgate,1
saddhaṃ,1
paṭilabhati,1
saddhāpaṭilābhena,1
paṭisañcikkhati,1
sambādho,1
gharāvāso,1
rajopatho,1
abbhokāso,1
pabbajjā,1
nayidaṃ,1
sukaraṃ,1
agāraṃ,1
ajjhāvasatā,1
ekantaparipuṇṇaṃ,1
ekantaparisuddhaṃ,1
saṅkhalikhitaṃ,1
carituṃ,1
pabbajati,1
pātimokkhasaṃvarasaṃvuto,1
ācāragocarasampanno,1
aṇumattesu,1
vajjesu,1
bhayadassāvī,1
samādāya,1
sikkhati,1
sikkhāpadesu,1
kāyakammavacīkammena,1
kusalena,1
parisuddhājīvo,1
bhojane,1
mattaññū,1
pāṇātipātaṃ,1
pāṇātipātā,1
nihitadaṇḍo,1
nihitasattho,1
lajjī,1
dayāpanno,1
adinnādānaṃ,1
adinnādānā,1
dinnādāyī,1
dinnapāṭikaṅkhī,1
athenena,1
sucibhūtena,1
attanā,1
abrahmacariyaṃ,1
brahmacārī,1
ārācārī,1
methunā,1
gāmadhammā,1
musāvādaṃ,1
musāvādā,1
saccavādī,1
saccasandho,1
theto,1
paccayiko,1
avisaṃvādako,1
